id,name,number,lon,lat,count,accessible
"226",Daly Grove,6150,-113.401,53.45,1,"3"
"227",Kenilworth,6350,-113.432,53.5213,3,"4"
"228",Girard Industrial,6260,-113.436,53.5117,0,"0"
"229",Davies Industrial East,6160,-113.431,53.5068,0,"0"
"230",River Valley Whitemud,5400,-113.553,53.5044,0,"0"
"231",Rosenthal,4750,-113.701,53.5194,0,"0"
"232",Ozerna,2600,-113.449,53.6222,0,"0"
"233",Matt Berry,2500,-113.437,53.6225,0,"0"
"234",Bonnie Doon,6040,-113.467,53.5242,1,"2"
"235",Roper Industrial,6640,-113.429,53.4947,0,"0"
"236",Mill Woods Golf Course,6500,-113.43,53.4823,0,"0"
"237",Hazeldean,6290,-113.477,53.5042,1,"4"
"238",Sweet Grass,5490,-113.528,53.4641,1,"4"
"239",Silver Berry,6442,-113.381,53.4599,0,"0"
"240",River Valley Fort Edmonton,5401,-113.579,53.5015,0,"0"
"241",Brander Gardens,5080,-113.578,53.4943,2,"4"
"242",University of Alberta Farm,5530,-113.539,53.4967,3,"4"
"243",Haddow,5610,-113.597,53.4559,0,"0"
"244",Schonsee,2700,-113.455,53.6322,0,"0"
"245",Secord,4487,-113.701,53.5339,0,"0"
"246",Edmonton South East,8886,-113.402,53.3835,0,"0"
"247",The Orchards At Ellerslie,6216,-113.459,53.4034,0,"0"
"248",Maple Ridge Industrial,6420,-113.355,53.4958,0,"0"
"249",Riverview Area,4463,-113.668,53.4236,0,"0"
"250",Edgemont,4462,-113.676,53.4705,0,"0"
"251",Lago Lindo,2450,-113.486,53.6364,1,"1"
"252",Winterburn Industrial Area West,4670,-113.702,53.5562,0,"0"
"253",Anthony Henday Rampart,4023,-113.573,53.6285,0,"0"
"254",Chambery,3120,-113.511,53.6406,0,"0"
"255",Rural West Big Lake,4470,-113.677,53.5785,0,"0"
"256",Belgravia,5040,-113.534,53.511,1,"2"
"257",Aspen Gardens,5020,-113.545,53.4771,2,"4"
"258",Brown Industrial,3050,-113.568,53.5824,0,"0"
"259",Hays Ridge Area,5465,-113.578,53.4166,0,"0"
"260",Ambleside,5505,-113.599,53.4299,0,"0"
"261",South Edmonton Common,6195,-113.486,53.4466,0,"0"
"262",Bearspaw,5030,-113.501,53.4433,0,"0"
"263",Bonaventure Industrial,4050,-113.571,53.5897,0,"0"
"264",Cromdale,1070,-113.465,53.5596,0,"2"
"265",Leger,5630,-113.576,53.458,1,"1"
"266",Breckenridge Greens,4700,-113.684,53.5161,0,"0"
"267",Garneau,5200,-113.514,53.5197,1,"6"
"268",Chappelle Area,5462,-113.582,53.4033,0,"0"
"269",Windermere Area,5575,-113.632,53.4032,0,"0"
"270",Glenridding Ravine,5579,-113.602,53.412,0,"0"
"271",Glastonbury,4720,-113.67,53.5033,0,"0"
